Day,Edible,Waste
21-Jun,4,12
24-Jun,4,0
30-Jun,2,1
2-Jul,4,0
4-Jul,1,1
5-Jul,1,1
10-Jul,1,0
12-Jul,2,0
19-Jul,0,1
21-Jul,1,0
15-Aug,1,5
16-Aug,13,2
12-Aug,2,5
21-Aug,25,5
24-Aug,13,14
25-Aug,37,10
26-Aug,0,0
27-Aug,0,0
28-Aug,0,0
29-Aug,30,20
30-Aug,15,0
31-Aug,0,0
1-Sep,0,0
2-Sep,0,0
3-Sep,30,30
4-Sep,0,0
5-Sep,28,16
6-Sep,57,15
7-Sep,0,0
8-Sep,31,16
9-Sep,28,12
10-Sep,8,0
11-Sep,10,4
12-Sep,8,0
13-Sep,0,0
14-Sep,32,10
15-Sep,40,20
16-Sep,20,3
17-Sep,15,5
18-Sep,26,2
19-Sep,17,3
20-Sep,15,4
21-Sep,18,6
22-Sep,40,8
23-Sep,40,10
24-Sep,14,6
25-Sep,39,17
26-Sep,13,4
27-Sep,27,8
28-Sep,17,8
29-Sep,40,10
30-Sep,20,5
1-Oct,6,4
2-Oct,15,4
3-Oct,10,2
4-Oct,8,5
5-Oct,20,5
6-Oct,0,0
7-Oct,0,0
8-Oct,0,0
9-Oct,9,11
10-Oct,5,5
11-Oct,11,11
12-Oct,5,4
13-Oct,10,10
14-Oct,17,3
15-Oct,12,4
16-Oct,2,2
17-Oct,8,1
18-Oct,10,2
19-Oct,10,2
20-Oct,12,2
21-Oct,12,1
22-Oct,4,0
23-Oct,12,1
24-Oct,14,2
25-Oct,0,0
26-Oct,20,5
27-Oct,0,0
28-Oct,0,0
29-Oct,0,0
30-Oct,5,0
31-Oct,0,0
1-Nov,0,0
2-Nov,2,0
3-Nov,0,0
4-Nov,3,0
5-Nov,0,0
6-Nov,0,0
7-Nov,0,0
8-Nov,0,0
9-Nov,0,0
10-Nov,0,0
11-Nov,0,0
12-Nov,0,0
13-Nov,5,0
14-Nov,0,0
15-Nov,0,0
