STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,Day,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,Rain,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/1/2016,,,,,0,",,N",,
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/2/2016,,,,,0,",,N",,
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/3/2016,,,,,0,",,N",,
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/4/2016,,,,,0.03,",,N",,
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/5/2016,,,,,0,",,N",,
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/6/2016,,,,,1.44,",,N",,
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/7/2016,,,,,1.04,",,N",,
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/8/2016,,,,,0.88,",,N",,
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/9/2016,,,,,0,",,N",,
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/10/2016,,,,,0.02,",,N",,
US1CASD0056,"CARLSBAD 8.7SE, CA US",33.0946,-117.2214,184.4,1/11/2016,,,,,0,"T,,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/1/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/2/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/3/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/4/2016,,,,,0.04,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/5/2016,,,,,0.01,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/6/2016,,,,,1.1,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/7/2016,,,,,1.11,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/8/2016,,,,,0.75,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/9/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/10/2016,,,,,0.01,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/11/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/12/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/13/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/14/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/15/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/16/2016,,,,,0,"T,,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/17/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/18/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/19/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/20/2016,,,,,0.03,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/21/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/22/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/23/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/24/2016,,,,,0.05,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/25/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/26/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/27/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/28/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/29/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/30/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,1/31/2016,,,,,0.3,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/1/2016,,,,,0.25,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/2/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/3/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/4/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/5/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/6/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/7/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/8/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/9/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/10/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/11/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/12/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/13/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/14/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/15/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/16/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/17/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/18/2016,,,,,0.1,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/19/2016,,,,,0.01,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/20/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/21/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/22/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/23/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/24/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/25/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/26/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/27/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/28/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,2/29/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/1/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/2/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/3/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/4/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/5/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/6/2016,,,,,0.35,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/7/2016,,,,,0.1,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/8/2016,,,,,0.45,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/9/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/10/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/11/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/12/2016,,,,,0.22,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/13/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/14/2016,,,,,0.02,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/15/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/16/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/17/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/18/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/19/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/20/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/21/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/22/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/23/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/24/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/25/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/26/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/27/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/28/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/29/2016,,,,,0.02,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/30/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,3/31/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/1/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/2/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/3/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/4/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/5/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/6/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/7/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/8/2016,,,,,0.33,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/9/2016,,,,,0.02,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/10/2016,,,,,0.42,",,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/11/2016,,,,,0,"T,,N",,
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/12/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/13/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/14/2016,,,,,0,",,N",0,",,N"
US1CASD0097,"CARLSBAD 8.3SE, CA US",33.0794,-117.2419,67.7,4/15/2016,,,,,0,",,N",0,",,N"
