Day,Energy_Produced_Wh
,
12/23/15,29916
,
12/24/15,32043
,
12/25/15,32043
,
12/26/15,32043
,
12/27/15,32043
,
12/28/15,32043
,
12/29/15,32043
,
12/30/15,32043
,
12/31/15,34034
,
01/01/16,36022
,
01/02/16,27655
,
01/03/16,26620
,
01/04/16,15476
,
01/05/16,3356
,
01/06/16,13372
,
01/07/16,19378
,
01/08/16,36845
,
01/09/16,25660
,
01/10/16,18353
,
01/11/16,27795
,
01/12/16,39515
,
01/13/16,31033
,
01/14/16,32339
,
01/15/16,11413
,
01/16/16,31995
,
01/17/16,34933
,
01/18/16,16294
,
01/19/16,24781
,
01/20/16,35566
,
01/21/16,35066
,
01/22/16,30192
,
01/23/16,19928
,
01/24/16,38282
,
01/25/16,40444
,
01/26/16,41727
,
01/27/16,24794
,
01/28/16,40998
,
01/29/16,37045
,
01/30/16,19580
,
01/31/16,7895
,
02/01/16,42981
,
02/02/16,43405
,
02/03/16,43208
,
02/04/16,43593
,
02/05/16,43155
,
02/06/16,43941
,
02/07/16,43843
,
02/08/16,43575
,
02/09/16,43535
,
02/10/16,39980
,
02/11/16,44573
,
02/12/16,44302
,
02/13/16,43272
,
02/14/16,44716
,
02/15/16,44471
,
02/16/16,45333
,
02/17/16,37906
,
02/18/16,32587
,
02/19/16,47256
,
02/20/16,47220
,
02/21/16,47961
,
02/22/16,48302
,
02/23/16,44791
,
02/24/16,48164
,
02/25/16,48180
,
02/26/16,44346
,
02/27/16,48551
,
02/28/16,44879
,
02/29/16,46564
,
03/01/16,48187
,
03/02/16,45889
,
03/03/16,36600
,
03/04/16,41598
,
03/05/16,35886
,
03/06/16,38594
,
03/07/16,29286
,
03/08/16,52675
,
03/09/16,50456
,
03/10/16,44219
,
03/11/16,30710
,
03/12/16,44556
,
03/13/16,41979
,
03/14/16,38795
,
03/15/16,52842
,
03/16/16,52567
,
03/17/16,52762
,
03/18/16,49968
,
03/19/16,48330
,
03/20/16,46429
,
03/21/16,38292
,
03/22/16,51303
,
03/23/16,55551
,
03/24/16,55583
,
03/25/16,53785
,
03/26/16,54827
,
03/27/16,51118
,
03/28/16,28534
,
03/29/16,48830
,
03/30/16,53427
,
03/31/16,56153
,
04/01/16,55302
,
04/02/16,56707
,
04/03/16,56355
,
04/04/16,57165
,
04/05/16,48733
,
04/06/16,40238
,
04/07/16,9693
,
