STATION,NAME,Day,Average_T,Max_T,Min_T
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/1/2017,50.5,57,44
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/2/2017,54,58,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/3/2017,54,59,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/4/2017,54,62,46
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/5/2017,57,60,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/6/2017,55.5,62,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/7/2017,61,72,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/8/2017,64.5,75,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/9/2017,58.5,62,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/10/2017,57.5,61,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/11/2017,57,60,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/12/2017,55.5,59,52
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/13/2017,55,59,51
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/14/2017,55.5,62,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/15/2017,56,62,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/16/2017,55.5,61,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/17/2017,54,63,45
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/18/2017,53,60,46
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/19/2017,57,61,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/20/2017,55.5,58,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/21/2017,54,59,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/22/2017,54.5,59,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/23/2017,52.5,57,48
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/24/2017,49.5,55,44
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/25/2017,49.5,58,41
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/26/2017,50,60,40
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/27/2017,53.5,65,42
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/28/2017,60.5,72,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/29/2017,62,76,48
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/30/2017,63,76,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",1/31/2017,59.5,70,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/1/2017,53.5,65,42
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/2/2017,56,67,45
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/3/2017,57,64,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/4/2017,58.5,63,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/5/2017,55.5,59,52
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/6/2017,56,58,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/7/2017,62,66,58
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/8/2017,61.5,66,57
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/9/2017,62.5,70,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/10/2017,59,63,55
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/11/2017,56,59,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/12/2017,56.5,65,48
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/13/2017,58,67,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/14/2017,58,63,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/15/2017,60.5,72,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/16/2017,57,64,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/17/2017,57,62,52
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/18/2017,55.5,59,52
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/19/2017,56,59,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/20/2017,59,65,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/21/2017,60.5,70,51
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/22/2017,57,61,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/23/2017,51.5,57,46
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/24/2017,52,60,44
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/25/2017,49.5,58,41
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/26/2017,54.5,59,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/27/2017,53,57,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2/28/2017,54.5,60,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/1/2017,56,67,45
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/2/2017,63,76,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/3/2017,60.5,74,47
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/4/2017,57,65,49
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/5/2017,55,60,50
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/6/2017,51,58,44
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/7/2017,54,64,44
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/8/2017,61,71,51
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/9/2017,65.5,78,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/10/2017,64.5,75,54
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/11/2017,61,69,53
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/12/2017,58.5,66,51
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/13/2017,59.5,67,52
USW00003177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",3/14/2017,63,76,50
